,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
3896,2015-07-23,2015-07-23,16.1325,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1097.4,0
3897,2015-07-24,2015-07-24,16.2265,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1080.8,0
3898,2015-07-27,2015-07-27,16.2665,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1100.0,0
3899,2015-07-28,2015-07-28,16.2565,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1096.2,0
3900,2015-07-29,2015-07-29,16.1945,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1090.3,0
3901,2015-07-30,2015-07-30,16.4755,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1087.5,0
3902,2015-07-31,2015-07-31,16.061,2.15,0.0115302345048654,0.9322267336827236,0.04436562180012519,0,1098.4,0
3903,2015-08-03,2015-08-03,16.1015,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1091.9,0
3904,2015-08-04,2015-08-04,16.166,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1090.7,0
3905,2015-08-05,2015-08-05,16.3775,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1085.1,0
3906,2015-08-06,2015-08-06,16.3615,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1089.8,0
3907,2015-08-07,2015-08-07,16.178,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1093.5,0
3908,2015-08-10,2015-08-10,16.1535,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1097.0,0
3909,2015-08-11,2015-08-11,16.3335,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1108.3,0
3910,2015-08-12,2015-08-12,16.296,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1119.0,0
3911,2015-08-13,2015-08-13,16.3735,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1116.8,0
3912,2015-08-14,2015-08-14,16.3655,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1118.3,0
3913,2015-08-17,2015-08-17,16.3995,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1118.8,0
3914,2015-08-18,2015-08-18,16.422,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1111.5,0
3915,2015-08-19,2015-08-19,16.526,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1126.2,0
3916,2015-08-20,2015-08-20,16.663,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1147.7,0
3917,2015-08-21,2015-08-21,16.925,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1156.5,0
3918,2015-08-24,2015-08-24,17.0825,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1166.5,0
3919,2015-08-25,2015-08-25,17.008,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1137.5,0
3920,2015-08-26,2015-08-26,17.089000000000002,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1120.8,0
3921,2015-08-27,2015-08-27,16.8815,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1119.0,0
3922,2015-08-28,2015-08-28,16.78,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1135.0,0
3923,2015-08-31,2015-08-31,16.7315,2.13,0.0115302345048654,0.9166130646083472,0.0442185217569821,0,1135.0,0
3924,2015-09-01,2015-09-01,16.8775,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1142.3,0
3925,2015-09-02,2015-09-02,16.9415,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1137.8,0
3926,2015-09-03,2015-09-03,16.785,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1128.0,0
3927,2015-09-04,2015-09-04,16.862000000000002,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1118.3,0
3928,2015-09-08,2015-09-08,16.784000000000002,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1121.2,0
3929,2015-09-09,2015-09-09,16.8015,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1109.9,0
3930,2015-09-10,2015-09-10,16.7575,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1109.5,0
3931,2015-09-11,2015-09-11,16.823,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1100.3,0
3932,2015-09-14,2015-09-14,16.7955,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1104.8,0
3933,2015-09-15,2015-09-15,16.768,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1106.0,0
3934,2015-09-16,2015-09-16,16.567999999999998,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1117.6,0
3935,2015-09-17,2015-09-17,16.588,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1117.5,0
3936,2015-09-18,2015-09-18,16.5615,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1141.5,0
3937,2015-09-21,2015-09-21,16.6925,2.16,0.0115302345048654,0.9561913828361904,0.04196274830998839,0,1133.3,0
