,index,Time Series,BRL_USD,BRL_IR,BRL_GDP,BRL_trade,BRL_UE,fc_year,price_gold,h1n1
958,2003-10-24,2003-10-24,2.867,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,388.3,0
959,2003-10-27,2003-10-27,2.8710000000000004,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,386.0,0
960,2003-10-28,2003-10-28,2.8625,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,384.4,0
961,2003-10-29,2003-10-29,2.8539999999999996,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,385.4,0
962,2003-10-30,2003-10-30,2.853,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,386.5,0
963,2003-10-31,2003-10-31,2.8645,19.0,0.00923256303506638,0.4996410056663277,0.132637622453842,0,386.3,0
964,2003-11-03,2003-11-03,2.855,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,383.3,0
965,2003-11-04,2003-11-04,2.8569999999999998,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,377.9,0
966,2003-11-05,2003-11-05,2.861,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,378.8,0
967,2003-11-06,2003-11-06,2.883,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,380.3,0
968,2003-11-07,2003-11-07,2.867,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,379.0,0
969,2003-11-10,2003-11-10,2.885,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,383.5,0
970,2003-11-12,2003-11-12,2.9189999999999996,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,389.7,0
971,2003-11-13,2003-11-13,2.9375,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,395.4,0
972,2003-11-14,2003-11-14,2.948,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,396.7,0
973,2003-11-17,2003-11-17,2.9485,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,393.7,0
974,2003-11-18,2003-11-18,2.948,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,393.9,0
975,2003-11-19,2003-11-19,2.945,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,395.2,0
976,2003-11-20,2003-11-20,2.9465,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,394.3,0
977,2003-11-21,2003-11-21,2.924,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,395.5,0
978,2003-11-24,2003-11-24,2.9189999999999996,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,391.9,0
979,2003-11-25,2003-11-25,2.937,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,391.8,0
980,2003-11-26,2003-11-26,2.945,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,396.0,0
981,2003-11-28,2003-11-28,2.945,17.5,0.00923256303506638,0.4527939003853622,0.128189693296391,0,398.4,0
982,2003-12-01,2003-12-01,2.9315,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,400.3,0
983,2003-12-02,2003-12-02,2.93,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,401.4,0
984,2003-12-03,2003-12-03,2.931,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,401.8,0
985,2003-12-04,2003-12-04,2.943,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,402.3,0
986,2003-12-05,2003-12-05,2.94,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,402.4,0
987,2003-12-08,2003-12-08,2.945,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,406.2,0
988,2003-12-09,2003-12-09,2.9355,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,407.8,0
989,2003-12-10,2003-12-10,2.945,16.5,0.00923256303506638,0.5450789468353653,0.125158485758437,0,410.0,0
